iter	Passed	Remaining
0	0	95
1	1	84
2	2	79
3	3	75
4	3	73
5	4	72
6	5	71
7	6	70
8	6	69
9	7	68
10	8	66
11	9	66
12	9	64
13	10	63
14	11	63
15	11	62
16	12	60
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	55
24	18	55
25	19	55
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	26	50
34	26	49
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	45
41	31	43
42	32	43
43	33	43
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	71	2
97	72	1
98	73	0
99	73	0
